Document_Id,Clean_Text,Sentiment
1,got covidvaccin today first dose one go ill full power turningintoasuperhero,Positive
2,i elig covid19 vaccin i get first shot my second what mess ohio httpstcozzxkjhpd3v,Positive
3,how know one right covidvaccin httpstcov2ydw8ggw9,Neutral
4,thank wcsedu nurs staff made vaccin distribut easi process here step httpstco47drymmzsi,Positive
5,mentionitaii me regard two dose pfizer vaccin i receiv decemb januari httpstcotpjpdd7ot,Positive
6,harryandmeghan cant cake eat repprtedli receiv covidvaccin httpstco2zyvgc58r5,Negative
7,u advis endors singleshot covid19 vaccin jampj httpstcotqnq1qogkc via ctvnew covid19 covid_19 httpstcoff1syes4af,Positive
8,the covid vaccin rollout pa bad anyon know theyr schedul appoint high risk peo httpstco8ftfpkczzj,Negative
9,canada doubl covid19 vaccin distribut week httpstcooq6tfvcsxa via ctvnew covidcanada httpstco6baoqrntsj,Positive
10,covid vaccin made avail palestin india un repres indiaunnewyork nagnaidu08 httpstcob2kv4wf5w2,Neutral
11,johnson johnson vaccin track u emerg approv johnsonandjohnson covidvaccin coronaviru httpstcoxl2mtqbtt1,Positive
12,largestvaccinedr dr subash khanna emin retir surgeon share experi radio brahmaputra httpstcomcxgtkerwn,Positive
13,nightshiftmd one friend ottawa live new jersey she wrote tonight hear httpstcobwewcmjo1i,Neutral
14,covidvaccin thank hard work httpstcojghqnv5wn2,Positive
15,how mani modi hater acknowledg n appreci smooth product n rollout covidvaccin india httpstcop6epdvamup,Negative
16,idk i told yall second shot hurt like sob it quickli tho my arm doesnt hurt yet tho covidvaccin,Positive
17,more prayer plea in hospit er w seriou reaction pfizervaccin had reaction httpstcoshja5bk8t,Negative
18,fasttrack covid vaccin like covidvaccin vaccin coronaviru johnsonandjohnson doyourresearch httpstcognwltwfygq,Positive
19,nurs proper way give covidvaccin httpstco9vrbex5wmf,Neutral
20,ino realli good video explain inovio situat ino4800 covidvaccin dnamedicin dnavaccin httpstco8egiyn6xa,Positive
21,also plu counti got dose vaccin i appoint monday morn figura httpstcoezkdh5rmmc,Neutral
22,while countri produc extremist india share covidvaccin countri proud call two httpstcoyd3axqvqaf,Neutral
23,msnbc joyannreid learn anyth new dr gregori michael caus death covidvaccin covid19,Negative
24,wsj singleshot johnson amp johnson effect the miss make punch knockout httpstcoz2dvcs8uhl,Positive
25,we receiv moderna vaccin back month second shot covid_19 covidvaccin httpstcomxkyglbrf9,Positive
26,get covidvaccin tomorrow im tri hard scare nervou i alreadi got covid httpstcop7mwxe4jmg,Negative
27,skill med philippin offer britain nurs exchang vaccin the philippin let thousand httpstcofoxvwbu1m4,Neutral
28,thi theyd rather sacrific highriskcovid peopl mayb give covidvaccin hypothet scammer httpstcotaixtvhnx8,Negative
29,weve seen movi there million reason shouldnt remad covid19 covid19vaccin httpstcos7g5d5nfap,Negative
30,confus covidvaccin prioriti chang one california counti next that end monday httpstcoqcsiiknjf2,Neutral
31,im save i hope write exact text ie plagiar covidvaccin experi repl httpstco9vhkdnm8sz,Positive
32,found teacherbesti westsidehsteach line first covidvaccin httpstcohxmglkvuey,Positive
33,yall im cold a fuucckkkkk covidvaccin seconddos,Negative
34,onli 333k peopl ahead line covidvaccin httpstcocohlegw8v,Neutral
35,thrill see fda recommend jampj covidvaccin codevelop amaz colleagu k_stephensonmd barouchlab httpstcotsgghejhzb,Positive
36,i miss invit girl night accept and cancel night ive got shot an httpstcog0pddnf7ar,Neutral
37,and think peopl gonna take fuck india justintrudeau name failur hope guy br httpstcos22xdf6tz0,Positive
38,dis dalla counti judg clay jenkin say state still shortchang north texan fair share httpstco5c2fhthrlf,Neutral
39,ok covidvaccin big govern roll free shot the covid19 bill big govern b httpstcoolx1qiltgf,Neutral
40,thi india covidvaccin httpstcogqlxmvmqz,Neutral
41,अर भखरन भख म मल दवई क refund कन मगत ह j0zigirl all countri mention given httpstcoa1hvfeopb5,Neutral
42,jerrysoucyrn here day life wrote testimoni hb secur storag medic lead httpstcokt3osk6la5,Negative
43,so happi hub second pfizer covidvaccin donei sleep soundli next himi think httpstcoohctiyw8hf,Positive
44,a helluva way end week one one go thank you scientist medic expert httpstcomludorwh4m,Positive
45,scottmorrisonmp advis expect teeth problem earli day covidvaccin httpstcoajks4cwt49,Negative
46,so amaz team httpstcozfvtfvagja manag get father vaccin appoint tomorrow plea httpstcoimuw72yavu,Neutral
47,sure feel rich realli what everyon mind give money back smart way httpstcouyabyva0dl,Neutral
48,transatlant trade u europ week februari httpstco2x8ailckyl uk spaceag covidvaccin spb_global,Neutral
49,if get covidvaccin microchip they follow you httpstcox0fq9d3doz,Positive
50,cbcalert cool how mani decad get and botch plan distribut administ do httpstcokavtrhbwlj,Neutral
51,poll is collegeunivers ask document receiv covidvaccin higher,Positive
52,tnchapterac utknoxsurgeri utmedicalcent great job dr gray team proud see utmedicalcent go httpstco4l1wkkytpw,Positive
53,ye i small number patient refus vaccin receiv covidvaccin httpstcozwpsvqchx8,Negative
54,i ask cdcgov doesnt put cancer vulner sentenc speak covid httpstco4gipgv4hwo,Negative
55,well done thank marisepayn it import all pull direct reduc vaccin hesi httpstcofcf7gfxk3x,Neutral
56,amermedicalassn urg whitehous includ physician offic covidvaccin distribut deliveri plan httpstcoovrhnkuok,Positive
57,gohealio thegrahamcent pcpcc darilynmoy acpinternist drangelicadrph wearewhi1214 lloydmichen httpstcoan8tdesrtr,Positive
58,onli medic profession india agre take covaxin shot manufactur bharat biotech the httpstcocvqim37r7o,Positive
59,cny315_ cejryanmcmahon claudiatenney repjohnkatko youngkimca aslavitt46 joebiden whco today httpstcomrwbx4dutz,Neutral
60,so excit registr confirm first fauci ouchi next week fauciouchi covid19 httpstcopaqckbe0vt,Neutral
61,largestvaccinedr the medic commun frontlinework come forward take covidvaccin l httpstco8rjxvcbypg,Positive
62,feel start weekend heartwarm account hero teamcv amp health care lea httpstcoeryntlcuvi,Positive
63,largestvaccinedr the medic commun frontlinework come forward take covidvaccin l httpstcoirichtorvw,Positive
64,covidvaccin tomorrow it feel like christma eve veteranshealth thank,Positive
65,covid19 covidvaccin do not take someon el vaccin thou shalt not steal do fli extend famili httpstco1mpnhzg0b4,Neutral
66,love love mavericksmus incred drummer mavpaul59 use awesom hashtag vaccinesaresexi just httpstcojyw7rmqunp,Positive
67,silke4sen abcdiagnosi jj_lock amjohnston1315 juliemeryl09 fitwithjanic fiestyivi drawstickpeopl httpstcobwbyyy0noh,Neutral
68,gotta shot covidvaccin moderna 1stshot hamilton youcandoit historicachiev vaxxer social httpstco1kdkm4fcnr,Positive
69,death through nurs eye httpstcosh08qvcgcu empathi nurs covid19 stopthespread covidvaccin,Negative
70,jessicam6946 of cours covidvaccin getvaccin,Positive
71,us_fda panel unanim recommend third covidvaccin jampj win key vote path emerg use httpstcoud12lssf7z,Positive
72,three good number covidvaccin httpstcojnqwv5sifo,Positive
73,true remain true singl biggest constraint vaccin ontario availab httpstcopjmu6j5sdp,Neutral
74,giselefetterman senior limit access technolog schedul first dose pfizer covidvaccin httpstcor4mjhudgci,Neutral
75,mentalhealth essenti be undocu im use deserv resourc crazi job allow httpstcoqkkm7aujv3,Neutral
76,thank nurs frontlin peopl fight u nurs covid19 covidvaccin httpstcolerizixv27,Positive
77,i know pandem i dont think i could trust vaccin compani knowingli asbesto httpstcowegqcqodfd,Negative
78,my arm readi wait covid19 covidvaccin httpstcohjqfthp1tk,Negative
79,i got 2nd dose modernavaccin im happi i got protect arou httpstcodx61boxooz,Positive
80,erictopol veri happi receiv covidvaccin im 1c stillwait,Positive
81,so excit citi begin appoint individu louisvil teamkentucki togetherki httpstcoeb0ujmgdgo,Positive
82,got covidvaccin today arm sore i move otherwis feel good plan keep updat httpstco80cvpgeax1,Negative
83,cvspharmaci thank make covidvaccin process easi painless lincoln st worcest made easi,Positive
84,over age use system book covidvaccin wait hear gp th httpstcoswsqfecr98,Neutral
85,christineguerc1 awfulso sorri hear unfortun he alon a loophol ban deptvetaffair fr httpstcousjipdlibf,Neutral
86,7thwardal it piec cake al look forward covidvaccin protect,Positive
87,disast capit give covidvaccin rollout lnp donor non tender contract expect gp provi httpstcohgmplij91c,Neutral
88,get done covidvaccin teamwinston followthesci winston_ eisdofsa omoucouli drh_ontheedg httpstco4uvq4cw6f4,Neutral
89,second dose of the covidvaccin no bueno httpstcoxjawbqvben,Negative
90,it feel pretti cool know scientist use mrna trick bodi make antibodi pathogen hasnt httpstcoyeiemdl8q6,Positive
91,my husband i health condit i front line worker barista we cant get vaccin c httpstconyg2lryi6d,Neutral
92,me count jampj stock anticip author now watch crash given luck httpstcovacqffejqj,Neutral
93,covid19 u state polici report februari httpstcohs7ftpy8an covidvaccin publichealth facemask spb_global,Neutral
94,happi friday my yr old mom got 2nd covidvaccin today httpstcoexbs0zegpw,Positive
95,vancouversd nurs share mywhi sleevesup covidvaccin trustthesci mywsna wcnurs schoolnurs httpstcorjjrwmih3b,Neutral
96,how dare advis u experiment natur covidvaccin use australia danielandrewsmp httpstcowyb6er7xxc,Neutral
97,pfizer covidvaccin reduc transmiss after one dose uk studi research analys result thousand httpstcorhjnx8dlbp,Positive
98,happi friday happi me i got first pfizer dose covidvaccin httpstcoi2pox90ktx,Positive
99,governorva weve least day what plan covid19 covidvaccin virginia httpstcoawvp9f44cf,Positive
100,yesterday i got one two covid vaccin today i say ouch covid19vaccin vaccin coronaviru covidvaccin,Negative
